year,iso3_code,fao_area_code,GFWCategory,total_catch_gfw_cat,total_f_hours,total_hours,total_days,n_vessel,effort_type,effort,slope,slope_log,effort_moment
2017,URY,41,pots_and_traps,1031.2351134831358,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,URY,41,pots_and_traps,1031.2351134831358,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,URY,41,pots_and_traps,1031.2351134831358,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,URY,41,set_longlines,1089.4079495689962,6411.055277777778,11942.359166666667,421,4,total_f_hours_length,281878.9313846554,258.7450656075858,2.4128720763400247,43.96763390291048
2017,URY,41,set_longlines,1089.4079495689962,6411.055277777778,11942.359166666667,421,4,total_f_hours_tonnage,3412204.7768372335,3132.1643817517656,3.4958445465577905,532.2376159607819
2017,URY,41,set_longlines,1089.4079495689962,6411.055277777778,11942.359166666667,421,4,total_f_hours_kw,4200809.666340858,3856.0482948585322,3.5861424645615037,655.2446491768445
2017,URY,41,trawlers,41778.306987756194,120233.39055555557,156998.54555555558,6718,42,total_f_hours_length,3747945.3058032556,89.71032040387973,1.9528424077780142,31.17224997552958
2017,URY,41,trawlers,41778.306987756194,120233.39055555557,156998.54555555558,6718,42,total_f_hours_tonnage,34388882.6320629,823.127721334929,2.915467228125193,286.01773994032897
2017,URY,41,trawlers,41778.306987756194,120233.39055555557,156998.54555555558,6718,42,total_f_hours_kw,66771554.808545,1598.2350560091743,3.203640652337502,555.3495123111599
2017,URY,48,set_longlines,424.4436091549295,868.4113888888891,1636.4330555555553,61,2,total_f_hours_length,43420.56944444445,102.29997226461988,2.009875515967056,50
2017,URY,48,set_longlines,424.4436091549295,868.4113888888891,1636.4330555555553,61,2,total_f_hours_tonnage,821517.173888889,1935.5154752466083,3.28679664803283,946
2017,URY,48,set_longlines,424.4436091549295,868.4113888888891,1636.4330555555553,61,2,total_f_hours_kw,932673.8316666669,2197.4034042440353,3.341909792994574,1074
2017,URY,88,set_longlines,101.178,318.75472222222277,1058.1594444444454,25,2,total_f_hours_length,15030.465097222248,148.55467687859266,2.1718863290484154,47.15370173165191
2017,URY,88,set_longlines,101.178,318.75472222222277,1058.1594444444454,25,2,total_f_hours_tonnage,192540.48138888925,1902.987619728491,3.27943596290547,604.039620328065
2017,URY,88,set_longlines,101.178,318.75472222222277,1058.1594444444454,25,2,total_f_hours_kw,237013.89722222264,2342.543806185363,3.3696877210568026,743.5619951599846
2017,USA,21,dredge_fishing,418530.4746992905,2364.1341666666667,8227.471666666665,211,8,total_f_hours_length,66956.55181061826,0.15998011102710213,-0.7959340061445895,28.321807093133078
2017,USA,21,dredge_fishing,418530.4746992905,2364.1341666666667,8227.471666666665,211,8,total_f_hours_tonnage,216530.04777920558,0.51735790072343,-0.2862089142885568,91.58957678129755
2017,USA,21,dredge_fishing,418530.4746992905,2364.1341666666667,8227.471666666665,211,8,total_f_hours_kw,578469.8964413742,1.3821452233723204,0.14055367718848896,244.68573086822448
2017,USA,21,drifting_longlines,865.7453888091823,16632.3475,72642.72694444444,1355,70,total_f_hours_length,369753.0045337338,427.0920865571374,2.6305215246077953,22.230957147434168
2017,USA,21,drifting_longlines,865.7453888091823,16632.3475,72642.72694444444,1355,70,total_f_hours_tonnage,1438435.8327707418,1661.4998489905736,3.220500306142829,86.4842339766375
2017,USA,21,drifting_longlines,865.7453888091823,16632.3475,72642.72694444444,1355,70,total_f_hours_kw,5657280.731124817,6534.577953578602,3.81521754320181,340.1372374600048
2017,USA,21,driftnets,9879.3460962588415,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,USA,21,driftnets,9879.3460962588415,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,USA,21,driftnets,9879.3460962588415,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,USA,21,pole_and_line,2318.2863076288204,9829.351666666667,24213.815833333334,913,26,total_f_hours_length,285922.9877083287,123.33376889965555,2.0910820031071937,29.088692459539498
2017,USA,21,pole_and_line,2318.2863076288204,9829.351666666667,24213.815833333334,913,26,total_f_hours_tonnage,1534283.7366733395,661.8180557010791,2.820738611394972,156.0920586325554
2017,USA,21,pole_and_line,2318.2863076288204,9829.351666666667,24213.815833333334,913,26,total_f_hours_kw,4412588.263690022,1903.3836541972619,3.2795263353745088,448.91956390715035
2017,USA,21,pots_and_traps,139444.49432507274,7012.981944444445,15867.748611111108,593,13,total_f_hours_length,149810.3272357325,1.0743366237643985,0.031140380932789653,21.361858396685232
2017,USA,21,pots_and_traps,139444.49432507274,7012.981944444445,15867.748611111108,593,13,total_f_hours_tonnage,528321.2514374655,3.7887566231610696,0.5784967085706088,75.33475141141521
2017,USA,21,pots_and_traps,139444.49432507274,7012.981944444445,15867.748611111108,593,13,total_f_hours_kw,1495201.0172588294,10.722553260318904,1.030298212113737,213.20474358889518
2017,USA,21,seiners,193391.39907270725,1263.62,13558.640000000003,211,6,total_f_hours_length,25745.42514577939,0.13312600906362007,-0.8757370873553937,20.37434129388534
2017,USA,21,seiners,193391.39907270725,1263.62,13558.640000000003,211,6,total_f_hours_tonnage,77682.45345021377,0.40168515157702717,-0.3961142218091493,61.47611896789682
2017,USA,21,seiners,193391.39907270725,1263.62,13558.640000000003,211,6,total_f_hours_kw,349635.9767356207,1.8079189581961288,0.2571789588843327,276.693924388361
2017,USA,21,set_longlines,4296.200213931859,78.5188888888889,818.1355555555552,13,1,total_f_hours_length,1230.9394236980556,0.286518170104439,-0.5428478311979139,15.676984749999999
2017,USA,21,set_longlines,4296.200213931859,78.5188888888889,818.1355555555552,13,1,total_f_hours_tonnage,790.2926166666667,0.18395153328838815,-0.7352965878496474,10.065
2017,USA,21,set_longlines,4296.200213931859,78.5188888888889,818.1355555555552,13,1,total_f_hours_kw,27220.20880726256,6.335879952473344,0.8018069399715402,346.67083541874285
2017,USA,21,trawlers,101195.4505033956,155267.6611111111,390192.09388888895,10979,307,total_f_hours_length,3751113.2004629644,37.068002383536964,1.5689991822749663,24.15901143624898
2017,USA,21,trawlers,101195.4505033956,155267.6611111111,390192.09388888895,10979,307,total_f_hours_tonnage,13949403.212837007,137.84614963860395,2.139394639763073,89.84100818556591
2017,USA,21,trawlers,101195.4505033956,155267.6611111111,390192.09388888895,10979,307,total_f_hours_kw,47177376.94632265,466.200572373949,2.668572802386392,303.8454795333205
2017,USA,31,dredge_fishing,27180.858598159222,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,USA,31,dredge_fishing,27180.858598159222,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,USA,31,dredge_fishing,27180.858598159222,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,USA,31,drifting_longlines,974.3727598764206,3209.2305555555554,17597.057500000006,266,32,total_f_hours_length,64759.78325394827,66.46304773766637,1.8225802524603327,20.17922431339234
2017,USA,31,drifting_longlines,974.3727598764206,3209.2305555555554,17597.057500000006,266,32,total_f_hours_tonnage,206404.4474722673,211.83314638069882,2.325993916885392,64.31586758855855
2017,USA,31,drifting_longlines,974.3727598764206,3209.2305555555554,17597.057500000006,266,32,total_f_hours_kw,1109328.774591214,1138.5055291692574,3.0563351441139783,345.6681454907736
2017,USA,31,driftnets,1943.9969714392896,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,USA,31,driftnets,1943.9969714392896,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,USA,31,driftnets,1943.9969714392896,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,USA,31,pole_and_line,1598.773564285147,1154.8411111111109,30400.82222222223,257,17,total_f_hours_length,19858.730358935274,12.421227622571196,1.0941645204268229,17.196071535614568
2017,USA,31,pole_and_line,1598.773564285147,1154.8411111111109,30400.82222222223,257,17,total_f_hours_tonnage,41667.80662269798,26.062356517214955,1.4160136813747797,36.080986571917244
2017,USA,31,pole_and_line,1598.773564285147,1154.8411111111109,30400.82222222223,257,17,total_f_hours_kw,1548878.782675989,968.7918397428174,2.9862304720326107,1341.20509546613
2017,USA,31,pots_and_traps,39098.56527321732,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,USA,31,pots_and_traps,39098.56527321732,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,USA,31,pots_and_traps,39098.56527321732,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,USA,31,seiners,485902.53770964546,14891.839444444444,45744.59416666667,1879,34,total_f_hours_length,738453.7836183573,1.519757001268484,0.18177415278374642,49.587815284554736
2017,USA,31,seiners,485902.53770964546,14891.839444444444,45744.59416666667,1879,34,total_f_hours_tonnage,5513473.069990584,11.346870292093842,1.054876090400811,370.2345227773351
2017,USA,31,seiners,485902.53770964546,14891.839444444444,45744.59416666667,1879,34,total_f_hours_kw,5616280.9273463,11.558451523672323,1.06289965590378,377.1381600169959
2017,USA,31,set_gillnets,213.66723643692632,1469.565,4598.366666666667,131,3,total_f_hours_length,33365.88337144966,156.15816410532892,2.193564694510553,22.704598552258428
